节目名,评分,链接
青春有你第2季,7.2,http://www.iqiyi.com/v_19rxzkvgic.html
我要这样生活,,http://www.iqiyi.com/v_19ry2ae250.html
我是唱作人第2季,7.3,http://www.iqiyi.com/v_19ry2j59a4.html
偶像练习生,7.4,http://www.iqiyi.com/v_19rrbfem78.html
喜欢你我也是,7.6,http://www.iqiyi.com/v_19rsd5jm78.html
青春有你,7,http://www.iqiyi.com/v_19rsjcrlas.html
青春的花路,8.2,http://www.iqiyi.com/v_19rsl0aoig.html
青春有你2会员升级版,,http://www.iqiyi.com/v_19rxzistg4.html
限定的记忆,7.4,http://www.iqiyi.com/v_19rupl6tnc.html
奇妙的食光,8.3,http://www.iqiyi.com/v_19rqs1u08w.html
热血街舞团,7.2,http://www.iqiyi.com/v_19rr0chzdw.html
开饭啦!唱作人第2季,,http://www.iqiyi.com/v_19ry3cjbl8.html
做家务的男人,7.6,http://www.iqiyi.com/v_19rvg9i2kg.html
hi室友,7.9,http://www.iqiyi.com/v_19rqt13az8.html
潮流合伙人,7.1,http://www.iqiyi.com/v_19rx716raw.html
坑王驾到第4季,7,http://www.iqiyi.com/v_19ry31a5ow.html
奇葩说第6季,7.4,http://www.iqiyi.com/v_19rwbd5gh8.html
喜剧人专场,,http://www.iqiyi.com/v_19rwxeybj0.html
中国有嘻哈,7.6,http://www.iqiyi.com/v_19rr8xply8.html
青春加点戏,,http://www.iqiyi.com/v_19ry257r54.html
遇见你真好,7.7,http://www.iqiyi.com/v_19rsfpn4h4.html
国风美少年,7.8,http://www.iqiyi.com/v_19rqwm6ym0.html
中国新说唱2019,7,http://www.iqiyi.com/v_19rss25z6g.html
演员的品格,7.6,http://www.iqiyi.com/v_19rqu8vuhw.html
中国音乐公告牌,7.8,http://www.iqiyi.com/v_19rr45p0l8.html
蜗的生活日记,,http://www.iqiyi.com/v_19ry24uyio.html
我去上学啦第2季,8.2,http://www.iqiyi.com/v_19rr9kaq3w.html
我是唱作人第1季,7.2,http://www.iqiyi.com/v_19rse90zt8.html
乐队的夏天,7.1,http://www.iqiyi.com/v_19rtgl69hs.html
这样唱好美,7,http://www.iqiyi.com/v_19rwk1hm50.html
慢游全世界,7.5,http://www.iqiyi.com/v_19rutt33qk.html
小姐姐的花店,7.4,http://www.iqiyi.com/v_19rqvr6msg.html
中国新说唱,7.2,http://www.iqiyi.com/v_19rr5a8t7g.html
偶滴歌神啊第3季,7.8,http://www.iqiyi.com/v_19rr9m7zzs.html
天使之路第1季,7,http://www.iqiyi.com/v_19rrejdpfw.html
奇葩说第5季,7.6,http://www.iqiyi.com/v_19rqs2dqf0.html
咕噔咕噔banana,7.1,http://www.iqiyi.com/v_19rqssqu3g.html
爱笑会议室,8.6,http://www.iqiyi.com/v_19rr8f2eco.html
坑王驾到第1季,8.7,http://www.iqiyi.com/v_19rre2h4ss.html
喜欢你我也是恋爱秘籍版,7.3,http://www.iqiyi.com/v_19rs7xd7go.html
姐姐好饿第2季,7.4,http://www.iqiyi.com/v_19rr8kupjo.html
unine蹦吧,7.5,http://www.iqiyi.com/v_19rrq0l198.html
了不起的兽人族,7.2,http://www.iqiyi.com/v_19rrfm7ovo.html
奇葩说第4季,8,http://www.iqiyi.com/v_19rr73y7ec.html
打榜日记,7,http://www.iqiyi.com/v_19rr485epw.html
偶滴歌神啊第1季,8.1,http://www.iqiyi.com/v_19rrkk5rog.html
变身总动员,,http://www.iqiyi.com/v_19rut7hy20.html
青春的花路福利版,7.3,http://www.iqiyi.com/v_19rsjy3caw.html
机器人争霸,7.4,http://www.iqiyi.com/v_19rr0xoxho.html
开饭啦!唱作人第1季,7.5,http://www.iqiyi.com/v_19rsf3l1ys.html
萌宠小大人,7.6,http://www.iqiyi.com/v_19rrbw451c.html
青春艺能学院,7.3,http://www.iqiyi.com/v_19rqxx2ls0.html
宅家运动会,,http://www.iqiyi.com/v_19rx7bdas4.html
了不起的孩子第2季,7.6,http://www.iqiyi.com/v_19rr8uxe28.html
流行音乐在路上,,http://www.iqiyi.com/v_19rw505g6o.html
蔡徐坤《偶像练习生》全程回顾,7.3,http://www.iqiyi.com/v_19ru7y6vd0.html
国风好听跪,7.3,http://www.iqiyi.com/v_19rqr779pw.html
了不起的孩子第1季,8,http://www.iqiyi.com/v_19rr9qix90.html
tfboys偶像手记,8.6,http://www.iqiyi.com/v_19rrn38fo0.html
坑王驾到第2季,8.4,http://www.iqiyi.com/v_19rr6r60t4.html
新说唱宝藏bot,7,http://www.iqiyi.com/v_19rsry8xic.html
爱上超模第3季,7,http://www.iqiyi.com/v_19rr9qgj20.html
我们的演唱会,7.4,http://www.iqiyi.com/v_19rtbiv5rs.html
无与伦比的发布会第3季,7.3,http://www.iqiyi.com/v_19rrfarxtg.html
陪你看说唱,7.1,http://www.iqiyi.com/v_19rr5kraww.html
不做家务做什么,7.3,http://www.iqiyi.com/v_19rvh88tm8.html
下班啦!合伙人,,http://www.iqiyi.com/v_19rxgkfdx4.html
乐队我做东,7.1,http://www.iqiyi.com/v_19rtlp0578.html
《中国有嘻哈》vip独家现场,7,http://www.iqiyi.com/v_19rr8ykarc.html
爱笑会议室第2季,7.2,http://www.iqiyi.com/v_19rqt94b1s.html
中国有嘻哈·王者之路,7.3,http://www.iqiyi.com/v_19rreestvw.html
偶滴歌神啊第2季,7.8,http://www.iqiyi.com/v_19rrl9pgw0.html
我去上学啦第1季,7.9,http://www.iqiyi.com/v_19rrkm89to.html
《中国好声音》精彩片段,7.3,http://www.iqiyi.com/v_19rwecytp4.html
爱上超模第2季,7,http://www.iqiyi.com/v_19rrl6d04g.html
宅家猜猜猜,,http://www.iqiyi.com/v_19rx4b2df8.html
瑜你台上见,,http://www.iqiyi.com/v_19ry4gs9h8.html
星动亚洲第4季,7.4,http://www.iqiyi.com/v_19rqt47v1k.html
我的室友日记,7.3,http://www.iqiyi.com/v_19rqtc9zcw.html
vlog营业中2,,http://www.iqiyi.com/v_19rx83b1oo.html
大学生来了第2季,7,http://www.iqiyi.com/v_19rr8yt54o.html
坑王驾到第3季,7.7,http://www.iqiyi.com/v_19ruhzfpjk.html
奇葩大会第1季,7.5,http://www.iqiyi.com/v_19rraf50t4.html
男人的家务日记,7,http://www.iqiyi.com/v_19rvhya1mc.html
热血街舞团剧情升级版,7.2,http://www.iqiyi.com/v_19rr0nbfes.html
声林之王第1季,7,http://www.iqiyi.com/v_19rqwhccas.html
vlog营业中,7.1,http://www.iqiyi.com/v_19rubcw3is.html
落选训练生larson观看青你2的反应是?,,http://www.iqiyi.com/v_19ry0jog3s.html
一起怀孕吧,7.5,http://www.iqiyi.com/v_19rrkvql4o.html
奇葩大会第2季,7.2,http://www.iqiyi.com/v_19rrdc8u34.html
宅家点歌台,,http://www.iqiyi.com/v_19rx4zv5hg.html
大学生来了第1季,7.3,http://www.iqiyi.com/v_19rrm7hshg.html
十三亿分贝,7.6,http://www.iqiyi.com/v_19rr9hxg3s.html
新说唱官方bot,7,http://www.iqiyi.com/v_19rsxpfly0.html
相亲现场,,http://www.iqiyi.com/v_19rwc9oydw.html
姐姐好饿第1季,7,http://www.iqiyi.com/v_19rr9nocow.html
热门电视剧解说,,http://www.iqiyi.com/v_19rxiq3kss.html
世界上的另一个我·欧洲季,8,http://www.iqiyi.com/v_19rr95u1vs.html
小鬼《偶像练习生》全程回顾,7.1,http://www.iqiyi.com/v_19ru7yam28.html
爱上超模第1季,7.3,http://www.iqiyi.com/v_19rroi26eg.html
中国餐馆,0,http://www.iqiyi.com/v_19rrhkujjj.html
无与伦比的发布会第2季,7.5,http://www.iqiyi.com/v_19rrdu92lg.html
奇葩666,,http://www.iqiyi.com/v_19rv7kb55s.html
国风美到炸,7.3,http://www.iqiyi.com/v_19rqr78nbo.html
吃光全宇宙,7.5,http://www.iqiyi.com/v_19rrbd3d84.html
明星的诞生,7.2,http://www.iqiyi.com/v_19rran64b0.html
奔跑团七宗最第四季,7.2,http://www.iqiyi.com/v_19rr0n8ioo.html
流行之王,7.1,http://www.iqiyi.com/v_19rrkq8jik.html
小姐姐的花店升级版,7.2,http://www.iqiyi.com/v_19rquncfl4.html
尤长靖《偶像练习生》全程回顾,7.3,http://www.iqiyi.com/v_19ru7ybeas.html
listenup第2季,7.2,http://www.iqiyi.com/v_19rr7s10pw.html
说走就走我们爱旅行,7.3,http://www.iqiyi.com/v_19rrfxjrxg.html
妈妈在这儿第1季,7.6,http://www.iqiyi.com/v_19rrh1q6zc.html
饭饭男友,7.4,http://www.iqiyi.com/v_19rr7bgv38.html
unine,7.4,http://www.iqiyi.com/v_19rul0ohh4.html
奇葩说第2季,8,http://www.iqiyi.com/v_19rroc6qr0.html
奔跑吧!伐木累,7.5,http://www.iqiyi.com/v_19rr818rjk.html
以德服人精彩合集,7.1,http://www.iqiyi.com/v_19rslr4mak.html
博君壹箫,,http://www.iqiyi.com/v_19rwyysk8s.html
心动的味道·厨语,7.5,http://www.iqiyi.com/v_19rr0a28l0.html
好美的她们,,http://www.iqiyi.com/v_19rwjx4jto.html
男子甜点俱乐部,7.2,http://www.iqiyi.com/v_19rre5vs7o.html
综艺劲爆点2012,7.3,http://www.iqiyi.com/v_19rrjq4qi4.html
超级故事会,7.2,http://www.iqiyi.com/v_19rrefvpts.html
演员十点半,7.5,http://www.iqiyi.com/v_19rqxlifho.html
综艺劲爆点2013,7.2,http://www.iqiyi.com/v_19rrh21q60.html
综艺劲爆点2015,7.2,http://www.iqiyi.com/v_19rrke7arw.html
黄明昊《偶像练习生》全程回顾,7.1,http://www.iqiyi.com/v_19ru7ya5us.html
奇葩说第3季,8.4,http://www.iqiyi.com/v_19rrlshvl8.html
娱乐猛回头,7.2,http://www.iqiyi.com/v_19rr5ngtfg.html
林彦俊《偶像练习生》全程回顾,7.1,http://www.iqiyi.com/v_19ru7y88gw.html
冒犯家族,7.1,http://www.iqiyi.com/v_19rrfsvs4k.html
泡菜帮,7.6,http://www.iqiyi.com/v_19ru8785z8.html
千面英雄,7.3,http://www.iqiyi.com/v_19rravzwxw.html
奇葩来了,7.6,http://www.iqiyi.com/v_19rrl9yiws.html
综艺劲爆点2014,7.3,http://www.iqiyi.com/v_19rrnyoc20.html
《我们的演唱会》特别回顾,7.1,http://www.iqiyi.com/v_19rstd8acw.html
奔跑团七宗最第1季,7.3,http://www.iqiyi.com/v_19rrl3mnx8.html
爱心守望 众志成城,,http://www.iqiyi.com/v_19rxkrqg9k.html
帕帕帮,7.5,http://www.iqiyi.com/v_19rr06vdh8.html
无与伦比的发布会第1季,7.1,http://www.iqiyi.com/v_19rr7im88s.html
《笑声传奇》精彩片段,7,http://www.iqiyi.com/v_19ry5w0if4.html
机器人争霸粉丝独享版,7.1,http://www.iqiyi.com/v_19rr0g7sew.html
范丞丞《偶像练习生》全程回顾,7.4,http://www.iqiyi.com/v_19ru7y7a44.html
爱in思谈,7.3,http://www.iqiyi.com/v_19rrbcr8wg.html
电视剧有戏,7.4,http://www.iqiyi.com/v_19rrojxy88.html
欢脱定律,7.1,http://www.iqiyi.com/v_19rraodr4o.html
《中国新相亲》精彩合集,7.2,http://www.iqiyi.com/v_19rv8w1xxs.html
声音劲爆点,7.2,http://www.iqiyi.com/v_19rr9vb3ek.html
朱正廷《偶像练习生》全程回顾,7,http://www.iqiyi.com/v_19ru7y6dm0.html
高能少年团精彩花絮,7.1,http://www.iqiyi.com/v_19rrv02tpw.html
随意酒吧,7.3,http://www.iqiyi.com/v_19rr5medbg.html
他们对我下手了,7.4,http://www.iqiyi.com/v_19rshhhbao.html
baby time,7.2,http://www.iqiyi.com/v_19rr7k9650.html
综艺音乐季,7.4,http://www.iqiyi.com/v_19rul8y11c.html
我爱大牌,7.7,http://www.iqiyi.com/v_19rrny6rc4.html
嗨到你红了,7.2,http://www.iqiyi.com/v_19rrdox2cg.html
王子异《偶像练习生》全程回顾,7.2,http://www.iqiyi.com/v_19ru7yafqk.html
奔跑团七宗最第三季,7.7,http://www.iqiyi.com/v_19rr7zuipg.html
跑男伐木累,7.1,http://www.iqiyi.com/v_19rrmbovew.html
奇葩icu,7.1,http://www.iqiyi.com/v_19rqs7qqbc.html
超模24小时,7.2,http://www.iqiyi.com/v_19rro9rnkg.html
同一堂课网络版,7,http://www.iqiyi.com/v_19rr64je5g.html
梦想奇牌,7.3,http://www.iqiyi.com/v_19rqyjq58o.html
火星撞地球,7.4,http://www.iqiyi.com/v_19rsi2pao8.html
心动百秒,7.1,http://www.iqiyi.com/v_19rshmzbl4.html
无限歌谣季精彩片段,7.5,http://www.iqiyi.com/v_19rykk9mow.html
环球影讯,7,http://www.iqiyi.com/v_19rrgxo5go.html
刺猬现场,7.1,http://www.iqiyi.com/v_19rqq7uuu4.html
综艺劲爆点2016,7.4,http://www.iqiyi.com/v_19rr9q49oc.html
生活也嘻哈,7.1,http://www.iqiyi.com/v_19rrf316d4.html
美人心计,7.5,http://www.iqiyi.com/v_19rrjznl2o.html
奔跑团七宗最第2季,7.5,http://www.iqiyi.com/v_19rrmbv208.html
头号人物,7.2,http://www.iqiyi.com/v_19rrfw8p7g.html
大学生来了vip独享版,7,http://www.iqiyi.com/v_19rr8y79lw.html
中国有嘻哈vip杜比音效特辑,7.5,http://www.iqiyi.com/v_19rr8q4y0o.html
综艺劲爆点2017,7.4,http://www.iqiyi.com/v_19rrf5tajc.html
夏日青春漾,7.1,http://www.iqiyi.com/v_19rsumear8.html
《爸爸回来了》精彩合集,7,http://www.iqiyi.com/v_19rtxkmivc.html
《笑声传奇》精彩片段,,http://www.iqiyi.com/v_19ry5vgnds.html
花样姐姐精彩内容,7.2,http://www.iqiyi.com/v_19rwe746fc.html
高能少年团精彩内容,7.4,http://www.iqiyi.com/v_19rwdmtyrw.html
萌宠小大人vip专享萌集,7.2,http://www.iqiyi.com/v_19rrfdar4c.html
艺能站,7.1,http://www.iqiyi.com/v_19rrdzr2d4.html
奇葩说不停,7.1,http://www.iqiyi.com/v_19rr484hm4.html
爆笑卡其马,7.2,http://www.iqiyi.com/v_19rrnb33fo.html
妈妈在这儿第2季,7.3,http://www.iqiyi.com/v_19rrnawjcg.html
跑男大不同,7.6,http://www.iqiyi.com/v_19rrljqir4.html
野生菌星球,7.5,http://www.iqiyi.com/v_19rubeu5ns.html
音乐不要停,7.4,http://www.iqiyi.com/v_19rrne48qs.html
《归宿》,7.2,http://www.iqiyi.com/v_19rqxg7bc8.html
饭饭男友独享版,7,http://www.iqiyi.com/v_19rr79y860.html
萌宝配番外篇,7.4,http://www.iqiyi.com/v_19rrliwaio.html
十三亿分贝2,,http://www.iqiyi.com/v_2ffkws2oh8k.html
"娱乐新剧场第一季:娱乐新视角,解读娱乐八卦!",7.3,http://www.iqiyi.com/v_19rtvn60oo.html
无限歌谣季精彩内容,7.4,http://www.iqiyi.com/v_19rufhvmko.html
健康相对论,7,http://www.iqiyi.com/v_19rrhgfnzc.html
第一原唱 1期,7.3,http://www.iqiyi.com/v_19rtwt3mg0.html
ber音乐,7.5,http://www.iqiyi.com/v_19rrk1u8o0.html
吴亦凡《中国新说唱》英字,7.2,http://www.iqiyi.com/v_19rr2dpge0.html
奇葩的轰趴第四季,7,http://www.iqiyi.com/v_19rr9t4fcs.html
超能幼稚园,9,http://www.iqiyi.com/v_19rr4amf10.html
旅行的声音,7.4,http://www.iqiyi.com/v_19rrb35ya4.html
爱够了没,7,http://www.iqiyi.com/v_19rrk56x24.html
晓松奇谈,9,http://www.iqiyi.com/v_19rrangfjs.html
神剧亮了,8.1,http://www.iqiyi.com/v_19ry235q7w.html
演出快报,7.3,http://www.iqiyi.com/v_19rrifkuu5.html
梁知·人情观察室,7.7,http://www.iqiyi.com/v_19rquwk4jo.html
猫田,7.3,http://www.iqiyi.com/v_19rrn96jvg.html
笑霸来了,7.9,http://www.iqiyi.com/v_19rqukf24k.html
十三亿分贝1,,http://www.iqiyi.com/v_2ffkws2oehk.html
超级故事会vip漫画纯享版,7.3,http://www.iqiyi.com/v_19rreg8f0k.html
知识就是力量,7.4,http://www.iqiyi.com/v_19rr651s44.html
一桌好宴,,http://www.iqiyi.com/v_19rwcv1ijw.html
笑霸来了欢畅版,7.2,http://www.iqiyi.com/v_19ru54iwlc.html
熬夜那点事,7,http://www.iqiyi.com/v_19rrk5okzo.html
黄子韬11人餐厅,,http://www.iqiyi.com/v_19ruzwz1zg.html
小姐爱旅行,7.5,http://www.iqiyi.com/v_19rrh91zic.html
街舞有鲜番,7.5,http://www.iqiyi.com/v_19rr0qohsk.html
博物奇妙夜,9.3,http://www.iqiyi.com/v_19rqzfs1dw.html
陪你走过70年,7.2,http://www.iqiyi.com/v_19rvibfkgw.html
狂徒,7.4,http://www.iqiyi.com/v_19rr9q70n4.html
乐队有新番,7.1,http://www.iqiyi.com/v_19rsf78lq0.html
中国新说唱2019衍生:说唱有新番2,7.3,http://www.iqiyi.com/v_19rs4h4fq4.html
说唱有新番,7.4,http://www.iqiyi.com/v_19rr5lnt9o.html
偶像有新番,7.8,http://www.iqiyi.com/v_19rrc6btzk.html
狂徒锋客,7,http://www.iqiyi.com/v_19rr9ho8rk.html
萌宝配,7.3,http://www.iqiyi.com/v_19rrkem6ck.html
纹理,7.5,http://www.iqiyi.com/v_19rrnrn3k8.html
